idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,Total_wages,ttl_exp,tenure
1,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Operatives,Union,11.74,48,563,10,5.33
2,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Craftsmen,Union,6.4,40,256,14,5.25
3,42,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,5.02,40,201,18,1.25
4,43,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.03,42,379,13,1.75
6,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,8.08,48,388,18,17.75
7,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,4.63,30,139,7,2.25
9,37,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Union,10.49,40,420,19,19
12,40,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,17.21,45,774,16,14.17
13,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,13.08,8,105,14,5.5
14,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.75,50,387,7,2.25
15,39,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,16.8,16,269,16,8.42
16,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,15.48,40,619,16,13.83
18,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Craftsmen,Nonunion,5.23,40,209,8,7.75
19,40,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,10.16,40,406,14,5.58
20,39,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,9.66,4,39,16,4.67
22,41,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.06,32,290,15,3
23,42,White,Married,Has been married,15,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.05,45,362,15,8.08
24,41,White,Married,Has been married,14,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.1,24,266,16,3.42
25,42,White,Married,Has been married,14,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.58,40,383,18,5.42
36,37,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Clerical/Unskilled,,4.18,40,167,16,0.92
39,44,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.79,40,392,9,7.92
44,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Professional/Technical,Union,28.46,35,996,16,3.5
45,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,10.19,38,387,17,17.25
46,44,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,3.05,25,76,6,2.92
47,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Craftsmen,Nonunion,3.53,40,141,9,0.75
48,35,White,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,,5.85,40,234,6,0.33
50,36,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,,35.73,45,1608,9,6.42
51,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.43,18,80,10,3.25
54,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,5.03,55,277,10,0.75
57,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.78,40,231,13,7.25
62,38,White,Married,Has been married,10,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.11,40,205,7,5.92
63,44,White,Single,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,25.16,18,453,10,2.08
64,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.4,30,132,7,3.33
66,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.71,9,42,11,9.75
67,40,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.05,24,193,11,3.17
70,36,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,16.74,38,636,16,16.08
71,34,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,5.72,38,218,11,2.5
72,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,7.46,40,298,9,1.08
73,36,White,Single,Never married,14,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,,6.79,40,272,14,0.5
